"Step","codegen-java-LoRa-v7-run-1-lora_target_modules-7-['qkv_proj', 'out_proj', 'lm_head', 'fc_in', 'fc_out']-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_target_modules-7-['qkv_proj', 'out_proj', 'lm_head', 'fc_in', 'fc_out']-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_target_modules-7-['qkv_proj', 'out_proj', 'lm_head', 'fc_in', 'fc_out']-wandb - eval/loss__MAX"
"50","1.1668751239776611","1.1668751239776611","1.1668751239776611"
"101","1.1041885614395142","1.1041885614395142","1.1041885614395142"
"152","1.0750341415405273","1.0750341415405273","1.0750341415405273"
"203","1.0623441934585571","1.0623441934585571","1.0623441934585571"
"254","1.0452394485473633","1.0452394485473633","1.0452394485473633"
"305","1.032936930656433","1.032936930656433","1.032936930656433"
"356","1.021859884262085","1.021859884262085","1.021859884262085"
"407","1.0171982049942017","1.0171982049942017","1.0171982049942017"
"458","1.0117967128753662","1.0117967128753662","1.0117967128753662"
"509","1.0062469244003296","1.0062469244003296","1.0062469244003296"
"560","1.000989317893982","1.000989317893982","1.000989317893982"
"611","0.9979791045188904","0.9979791045188904","0.9979791045188904"
"662","0.9960375428199768","0.9960375428199768","0.9960375428199768"
"713","0.99354487657547","0.99354487657547","0.99354487657547"
"764","0.9966732263565063","0.9966732263565063","0.9966732263565063"
"815","0.9918628931045532","0.9918628931045532","0.9918628931045532"
"866","0.9917348027229309","0.9917348027229309","0.9917348027229309"
"917","0.9906596541404724","0.9906596541404724","0.9906596541404724"
"968","0.9903702139854431","0.9903702139854431","0.9903702139854431"
"1019","0.9903182983398438","0.9903182983398438","0.9903182983398438"
