"Step","codegen-java-LoRa-v7-run-1-effective_seq_length_train-3-1024-wandb - eval/loss","codegen-java-LoRa-v7-run-1-effective_seq_length_train-3-1024-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-effective_seq_length_train-3-1024-wandb - eval/loss__MAX"
"50","1.1731884479522705","1.1731884479522705","1.1731884479522705"
"101","1.1260268688201904","1.1260268688201904","1.1260268688201904"
"152","1.0890922546386719","1.0890922546386719","1.0890922546386719"
"203","1.0691620111465454","1.0691620111465454","1.0691620111465454"
"254","1.0560941696166992","1.0560941696166992","1.0560941696166992"
"305","1.0500046014785767","1.0500046014785767","1.0500046014785767"
"356","1.0433850288391113","1.0433850288391113","1.0433850288391113"
"407","1.0489567518234253","1.0489567518234253","1.0489567518234253"
"458","1.0356051921844482","1.0356051921844482","1.0356051921844482"
"509","1.03057062625885","1.03057062625885","1.03057062625885"
"560","1.0243325233459473","1.0243325233459473","1.0243325233459473"
"611","1.0209647417068481","1.0209647417068481","1.0209647417068481"
"662","1.016127347946167","1.016127347946167","1.016127347946167"
"713","1.012917399406433","1.012917399406433","1.012917399406433"
"764","1.0116924047470093","1.0116924047470093","1.0116924047470093"
"815","1.0103483200073242","1.0103483200073242","1.0103483200073242"
"866","1.0096303224563599","1.0096303224563599","1.0096303224563599"
"917","1.009247064590454","1.009247064590454","1.009247064590454"
"968","1.0090590715408325","1.0090590715408325","1.0090590715408325"
"1019","1.0090142488479614","1.0090142488479614","1.0090142488479614"
